#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,bc,"is used for a dropdown calculator"
,dosfstools,"allows your computer to access dos-like filesystems"
,exfat-utils,"allows management of FAT drives"
,sxiv,"is a minimalist image viewer"
,ffmpeg,"can record and splice video and audio on the command line"
,python-qdarkstyle,"provides a dark Qt theme"
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon"
,mpc,"is a terminal interface for mpd"
,mpv,"is the patrician's choice video player"
,man-db,"lets you read man pages of programs"
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor"
,newsboat,"is a terminal RSS client"
,firefox,"is an elegant browser"
,ntfs-3g,"allows accessing NTFS partitions"
A,abook,"is an offline addressbook usable by neomutt"
,unrar,"extracts rar's"
,unzip,"unzips zips"
,xclip,"allows for copying and pasting from the command line"
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link"
,zathura,"is a pdf viewer with vim-like bindings"
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura"
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions"
,mediainfo,"shows audio and video information"
,atool,"manages and gives information about archives"
,fzf,"is a fuzzy finder tool"
,bat,"can highlight code output and display files"
A,mutt-wizard-git,"is a light-weight terminal-based email system"
,socat,"is a utility which establishes two byte streams and transfers data between them"
,moreutils,"is a collection of useful unix tools"
,fcitx5-im,"Flexible Context-aware Input Tool with eXtension"
,fcitx5-chinese-addons,"Addons related to Chinese, including IME previous bundled inside fcitx4"
,fcitx5-material-color,"Material color theme for fcitx5"
,freetype2,"Font rasterization library"
,udisks2,"Disk Management Service, version 2"
,tree,"A directory listing program displaying a depth indented list of files"
,usbutils,"A collection of USB tools to query connected USB devices"
,s-tui,"Terminal UI stress test and monitoring tool"
,bash-completion,"Programmable completion for the bash shell"
,qrencode,"C library for encoding data in a QR Code symbol"
,smartmontools,"Control and monitor S.M.A.R.T. enabled ATA and SCSI Hard Drives"
,flameshot,"Powerful yet simple to use screenshot software"
,duf,"Disk Usage/Free Utility"
,noto-fonts,"Google Noto TTF fonts"
,noto-fonts-cjk,"Google Noto CJK fonts"
,ttf-fira-code,"Monospaced font with programming ligatures"
,ttf-roboto,"Google's signature family of fonts"
,ttf-sarasa-gothic,"A CJK programming font based on Iosevka and Source Han Sans. (TTC),"
,ttf-droid,"General-purpose fonts released by Google as part of Android"
,ttf-linux-libertine,"Serif (Libertine) and Sans Serif (Biolinum) OpenType fonts with large Unicode coverage"
,noto-fonts-emoji,"is an emoji font"
,gimp,"GNU Image Manipulation Program"
