,telegram-desktop,"Official Telegram Desktop client"
A,arduino-cli-bin,"Arduino prototyping platform SDK"
,code,"The Open Source build of Visual Studio Code (vscode) editor"
,kicad,"Electronic schematic and printed circuit board (PCB) design tools"
,kicad-library,"KiCad symbol, footprint and template libraries"
,kicad-library-3d,"KiCad 3D model libraries"
,wireshark-qt,"Network traffic and protocol analyzer/sniffer - Qt GUI"
,keepassxc,"Cross-platform community-driven port of Keepass password manager"
,veracrypt,"Disk encryption with strong security based on TrueCrypt"
,openocd,"Debugging, in-system programming and boundary-scan testing for embedded target devices"
